Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
David Sedaris	writer	https://www.bbc.co.uk/programmes/m001j3ld	David Sedaris, writer	A German dictionary	Pencils and paper	You and I by Abbey Lincoln	Lauren Laverne	2023-02-12	11:15	Tammy Wynette	I Don't Wanna Play House	Keith Hamshere and Original London Cast of Oliver!	Where is Love	Maria Bethânia	Dindi	Aretha Franklin	Until You Come Back To Me (That's What I'm Gonna Do)	The Georgia Mass Choir	I Got A Right to Praise The Lord	Blossom Dearie	Manhattan	Abbey Lincoln	You and I	John Coltrane & Johnny Hartman	They Say It's Wonderful
Lesley Manville	actor	https://www.bbc.co.uk/programmes/m001hwt9	Lesley Manville, actor	A Botanical Encyclopedia	A bed with linen, duvet and pillows	Over The Rainbow - Eva Cassidy	Lauren Laverne	2023-02-05	11:15	Eva Cassidy	Over The Rainbow	Free	My Brother Jake	Rodolfo (Jose Carreras), Marcello (Richard Stilwell), Mimi (Teresa Stratas)	O Soave Fanciulla	Etta James	Sugar on the Floor	Dusty Springfield	You Don't Have To Say You Love Me	Barbra Steisand	Not While I'm Around	Adele	Make You Feel My Love	Jonny Greenwood	Phantom Thread III
Professor Corinne Le Quéré	climate scientist	https://www.bbc.co.uk/programmes/m001hnx7	Professor Corinne Le Quéré, climate scientist	World Atlas of the Oceans by Dave Monahan	A mask and snorkel	La Vida Es Un Carnaval by Celia Cruz	Lauren Laverne	2023-01-29	11:15	Celia Cruz	La Vida Es Un Carnaval	Georges Brassens	Les copains d'abord	Queen	We Are The Champions	Beau Dommage	Harmonie du soir à Chateauguay	Tina Turner	Proud Mary (Live in Arnhem)	Wolfgang Amadeus Mozart	"Die Zauberflöte, K. 620, Act 2: ""Der Hölle Rache"""	Lily Allen	LDN	Johann Sebastian Bach	Three-Part Inventions: Sinfonia 15 BWV 801
Michael Pollan	writer	https://www.bbc.co.uk/programmes/m001hdn3	Michael Pollan, writer	Ulysses by James Joyce	Dark chocolate	Cello Suite No. 2 in D Minor, BWV 1008: I. Prélude, composed by J.S Bach and performed by Yo-Yo Ma	Lauren Laverne	2023-01-22	11:15	Harry Belafonte	Day-O (The Banana Boat Song)	Simon & Garfunkel	The Sound of Silence	Canned Heat	Going Up The Country	Louis Armstrong & Ella Fitzgerald	Cheek To Cheek	Jerry Garcia & David Grisman	Shady Grove	Joni Mitchell	California	The Beatles	Tomorrow Never Knows	Johann Sebastian Bach	Cello Suite No. 2 in D Minor, BWV 1008: I. Prélude
Gabby Logan	broadcaster	https://www.bbc.co.uk/programmes/m001h3xl	Gabby Logan, broadcaster	Every Ruddy Word by Alan Partridge	A piano	You Got the Love by The Source, featuring Candi Staton	Lauren Laverne	2023-01-15	11:15	Emeli Sandé	Abide With Me	Marvin Gaye and Tammi Terrell	Ain't No Mountain High Enough	Ella Fitzgerald and Louis Armstrong	Summertime	Dire Straits	Theme Of The Local Hero (Live at Hammersmith Odeon, 1983)	Elton John	Daniel	Gerry Cinnamon	Belter	George Michael & Mary J. Blige	As	The Source, featuring Candi Staton	You Got the Love
Sir Malcolm Walker	retailer	https://www.bbc.co.uk/programmes/m001gwtx	Sir Malcolm Walker, retailer	Robinson Crusoe by Daniel Defoe	A cast iron cooking pot	Quando me’n vo (“Musetta’s Waltz”) from La Bohème composed by Giacomo Puccini and performed by Natalie Walker	Lauren Laverne	2023-01-08	11:15	Max Bruch	Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio	Josef Locke	Goodbye	The Platters	Only You	The Tremeloes	Silence Is Golden	Elaine Paige	Memory	Cliff Richard & Sarah Brightman	All I Ask Of You	Giacomo Puccini	La bohème, SC 67 / Act I	Natalie Walker	"Quando me'n vo (""Musetta's Waltz"")"
Kirsty Young	broadcaster	https://www.bbc.co.uk/programmes/m001ghvx	Kirsty Young, broadcaster	The Most of Nora Ephron by Nora Ephron	A cinema and film archive	Cello Suite No.1 in G Major, BWV1007: I. Prelude [J.S.BACH] performed by Steven Isserlis	Lauren Laverne	2022-12-25	11:15	Steven Isserlis	I. Prelude [J.S.Bach] performed	Nina Simone	My Baby Just Cares for Me	Joni Mitchell	Both Sides Now	Dougie MacLean	Caledonia	I Happen to Like New York Bobby Short, performer. [Cole Porter, composer]	I Happen to Like New York Bobby Short, performer. [Cole Porter, composer]	Fleetwood Mac	Songbird	Dennis Keene	O Magnum Mysterium by [Tomás Luis de Victoria] sung by The Voices of Ascension choir, directed	Kendrick Lamar	Count Me Out
Steven Spielberg	director	https://www.bbc.co.uk/programmes/m001g8m4	Steven Spielberg, director	The Grapes of Wrath by John Steinbeck	H-8 Bolex camera	Coolhand by Buzzy Lee	Lauren Laverne	2022-12-18	11:15	Gene Pitney	The Man Who Shot Liberty Valance	Yannick Nezet-Seguin	Fugue in G minor, BMW 578 – “The Little” arranged by Leopold Stokowski, composed by J.S Bach, performed by Philadelphia Orchestra and conducted	The Beatles	Michelle	Jackie DeShannon	What the World Needs Now Is Love	Frank Sinatra	Come Fly with Me	Bruce Springsteen	The Ghost of Tom Joad	Reri Grist	Somewhere, composed by Leonard Bernstein and Stephen Sondheim, performed	Buzzy Lee	Coolhand
Cate Blanchett	actor	https://www.bbc.co.uk/programmes/m001g30v	Cate Blanchett, actor	Hope in the Dark by Rebecca Solnit	Time	Tannhäuser: Pilgrims' Chorus composed by Richard Wagner and performed by Norman Luboff Choir, New Symphony Orchestra of London, conducted by Leopold Stokowski	Lauren Laverne	2022-12-11	11:15	Gustav Mahler	Mahler: Symphony No. 5 in C-Sharp Minor - II	Los Panchos	Bésame Mucho	Richard Wagner	Tannhäuser: Pilgrims' Chorus	Grinderman	Go Tell the Women	I Am Kloot	Proof	Kathleen Ferrier	Blow the Wind Southerly	Molly Drake	The Little Weaver Bird	Count Basie and His Orchestra	Lil' Darlin'
Edward Enninful	editor	https://www.bbc.co.uk/programmes/m001fvns	Edward Enninful, editor	Caste: The Origins of Our Discontents by Isabel Wilkerson	A pair of embroidered slippers	Strange Fruit by Nina Simone	Lauren Laverne	2022-12-04	11:15	Alhaji K. Frimpong	Kyenkyen Bi Adi Mawu	This Mortal Coil	Song To The Siren	Nina Simone	Strange Fruit	Soul II Soul	Back to Life	Lauryn Hill	Ex-Factor	Belle and Sebastian	The Stars of Track and Field	Fireboy DML & Ed Sheeran	Peru	Rihanna	Love Without Tragedy / Mother Mary
Baz Luhrmann	director	https://www.bbc.co.uk/programmes/m001flzq	Baz Luhrmann, director	War and Peace by Leo Tolstoy	A silk eye mask	Puccini: La Boheme / Act 1 - 'Che gelida manina' by Luciano Pavarotti	Lauren Laverne	2022-11-27	11:15	David Bowie	Changes	John Farnham	One	Herb Alpert & the Tijuana Brass	Spanish Flea	Elvis Presley	Suspicious Minds	Luciano Pavarotti	"Puccini: La Bohème / Act 1 - ""Che gelida manina"""	Massive Attack	Unfinished Sympathy	Christina Aguilera, Lil' Kim, MYA, Pink	Lady Marmalade	JAY Z, Kanye West, Frank Ocean, The-Dream	No Church in the Wild
Barry Hearn	sports promoter	https://www.bbc.co.uk/programmes/m001fcg8	Barry Hearn, sports promoter	The Old Man and the Sea by Ernest Hemingway	A fishing rod and rocking chair	Sunshine On My Shoulders by John Denver	Lauren Laverne	2022-11-20	11:15	Kenny Rogers	The Gambler	Blues Brothers	Sweet Home Chicago	John Denver	Sunshine on My Shoulders	Finbar & Eddie Furey	The Lonesome Boatman	Chas & Dave	Snooker Loopy	Tina Turner	The Best	Don McLean	American Pie	Tom Paxton	Forest Lawn
Professor Jean Golding	epidemiologist	https://www.bbc.co.uk/programmes/m001f5dv	Professor Jean Golding, epidemiologist	The Oxford Book of Twentieth-century English Verse	A mobility power chair	Dawn Chorus by BBC Sound Effects	Lauren Laverne	2022-11-18	09:00	The Fisherman’s Friends	The 'Trelawny' National Anthem	Richard Burton	Under Milk Wood (Part 1)	Humphrey Lyttelton	Bad Penny Blues	Michael Flanders and Donald Swann	The Hippopotamus Song	Rex Harrison	A Hymn to Him	Franz Schubert	"Piano Quintet in A Major, Op. Posth. 114, D. 667 ""The Trout"": I. Allegro vivace"	Morecambe & Wise	Bring Me Sunshine
Richard E Grant	actor	https://www.bbc.co.uk/programmes/m001dwlk	Richard E Grant, actor	Alice in Wonderland by Lewis Carroll	A piano	When I Fall in Love by Nat King Cole	Lauren Laverne	2022-11-06	11:15	Barbra Streisand	I'm The Greatest Star	Nat King Cole	When I Fall In Love	Percy Sledge	When a Man Loves a Woman	Eurythmics	Sweet Dreams (Are Made Of This)	Frédéric Chopin	Chopin: 24 Préludes, Op. 28 - 4. Largo in E Minor	Patrick Doyle	Please Forgive Me	Eva Cassidy	Fields Of Gold	Barbra Streisand	Don't Rain On My Parade
Professor Angela Gallop	forensic scientist	https://www.bbc.co.uk/programmes/m001dmpl	Professor Angela Gallop, forensic scientist				Lauren Laverne	2022-10-30	11:15	Michael Flanders and Donald Swann	The Gas Man Cometh	George Frideric Handel	Oh Thou that Tellest Good Tidings to Zion	Johann Sebastian Bach	Keyboard Concerto in D Major, BWV 972: III. Allegro	Dr. Hook	More Like The Movies	George Frideric Handel	"Handel: Giulio Cesare / Act 3 - ""Da tempeste il legno infranto"""	Joseph Haydn	Cello Concerto No. 1 in C Major, Hob. VIIb:1: I. Moderato	Henry Purcell	"Rejoice in the Lord Alway ""The Bell Anthem"""	Joyce DiDonato	"Le nozze di Figaro, K. 492, Act 2: ""Voi che sapete"" (Cherubino)"
Rick Rubin	music producer	https://www.bbc.co.uk/programmes/m001dd83	Rick Rubin, music producer	The Red Book by Carl Jung	Tarot cards	Holy Affirming, Holy Denying, Holy Reconciling by Thomas De Hartmann	Lauren Laverne	2022-10-23	11:15	The Beatles	Across The Universe	Johann Sebastian Bach	And at the Hour of Death	Ramones	Rockaway Beach	LCD Soundsystem	Us V Them	Neil Young	I Believe in You	Thomas de Hartmann	Holy Affirming, Holy Denying, Holy Reconciling	Simon & Garfunkel	The Dangling Conversation	Roberta Flack	The First Time Ever I Saw Your Face
Maxine Peake	actor	https://www.bbc.co.uk/programmes/m001d4vp	Maxine Peake, actor	One Moonlit Night by Caradog Prichard	A solar-powered epilator	Joe Hill by Paul Robeson	Lauren Laverne	2022-10-16	11:15	The Stone Roses	Mersey Paradise maxine	"Bonnie ""Prince"" Billy and Red"	Puff the Magic Dragon	Paul Robeson	Joe Hill	Aphrodite’s Child	The Four Horsemen	Nico	Evening Of Light	Joe Smooth	Promised Land	The Unthanks	A Whistling Woman	Todd Rundgren	I Saw The Light
Kevin Sinfield	rugby player	https://www.bbc.co.uk/programmes/m001cwsz	Kevin Sinfield, rugby player	The Edge: The Guide to Fulfilling Dreams, Maximizing Success and Enjoying a Lifetime of Achievement by Howard E. Ferguson	A Self-propelled treadmill	Last Request by Paolo Nutini	Lauren Laverne	2022-10-09	11:15	The Honley Male Voice Choir & The Band of HM Royal Marines	Parry: Jerusalem	Dexys Midnight Runners	Come On Eileen	Van Morrison	Someone Like You	Craig David	7 Days	Tiffany	I Think We're Alone Now	Undercover	Baker Street	Paolo Nutini	Last Request	Coldplay	Fix You
Dr Waheed Arian	doctor	https://www.bbc.co.uk/programmes/m001cp20	Dr Waheed Arian, doctor	The Boy Who Harnessed the Wind by Bryan Mealer and William Kamkwamba	Pen and paper	Fly by Celine Dion	Lauren Laverne	2022-10-02	11:15	Eminem	Lose Yourself	Farhad Darya	Gule Sori	Survivor	Eye Of The Tiger	Loren Allred	Never Enough	Michael Bublé	Home	Céline Dion	Fly	Elton John	Are You Ready for Love	Billie Eilish	everything i wanted
Jay Blades	presenter and furniture restorer	https://www.bbc.co.uk/programmes/m001cdwm	Jay Blades, presenter and furniture restorer	The Autobiography of Malcolm X by Malcolm X with Alex Haley	A reclining massage chair	Help Me Make It Through the Night by John Holt	Lauren Laverne	2022-09-25	11:15	John Holt	Help Me Make It Through The Night	Luther Vandross	The Night I Fell In Love	Dennis Brown	Revolution	Wookie	Battle	Cameo	Love You Anyway	Melody Gardot	Baby I'm A Fool	Evelyn “Champagne” King	Kisses Don't Lie	Gregory Porter	Take Me to the Alley
Sue Barker	presenter and tennis player	https://www.bbc.co.uk/programmes/m001c678	Sue Barker, presenter and tennis player	All In by Billie Jean King	New Zealand Sauvignon Blanc wine	Harry Hippie by Bobby Womack	Lauren Laverne	2022-09-18	11:15	Woodkid	Run Boy Run	Edvard Grieg	Piano Concerto in A minor, opus 16	Bobby Womack	Harry Hippie	The Beach Boys	California Girls	George Benson	The Greatest Love Of All	Al Green	Simply Beautiful	Keith Mansfield	Grandstand	Elton John	Philadelphia Freedom
John Legend	musician	https://www.bbc.co.uk/programmes/m0019yvx	John Legend, musician	The Dawn of Everything: A New History of Humanity by David Graeber & David Wengrow	A piano	Here Comes the Sun by Nina Simone	Lauren Laverne	2022-08-07	11:15	Nina Simone	Here comes the sun	Pete Rock & C.L. Smooth	They Reminisce Over You (T.R.O.Y.)	Aretha Franklin	Day Dreaming	JAY-Z	Roc Boys (And the Winner Is)	Stevie Wonder	As	Beyoncé	Love On Top	Nat King Cole	L-O-V-E	Curtis Mayfield	Superfly
Clare Smyth	chef	https://www.bbc.co.uk/programmes/m0019r70	Clare Smyth, chef	The Lord of the Rings by J. R. R. Tolkien	A chef’s knife	Circle of Life by Carmen Twillie and Lebo M	Lauren Laverne	2022-07-31	11:15	Guns N’ Roses	Sweet Child O' Mine	The Cranberries	Zombie	Oasis	Don't Look Back In Anger	Pulp	Common People	Adele	Set Fire To The Rain	Blondie	Maria	Pretenders	Brass In Pocket	Carmen Twillie, Lebo M	Circle of Life
Kate Moss	model	https://www.bbc.co.uk/programmes/m0019jv2	Kate Moss, model	The Little Prince by Antoine de Saint-Exupéry	A cashmere blanket	My Sweet Lord by George Harrison	Lauren Laverne	2022-07-24	11:15	Soul II Soul Sunday Service and Jazzie B mix	Back to Life	King Curtis	A Whiter Shade of Pale	Neil Young	Harvest Moon	David Bowie	Life On Mars?	The Velvet Underground	Oh! Sweet Nuthin'	The Rolling Stones	Sympathy For The Devil	George Harrison	My Sweet Lord	Van Morrison	Madame George
Kate Ewart-Biggs	Deputy Chief Executive	https://www.bbc.co.uk/programmes/m00199p9	Kate Ewart-Biggs, Deputy Chief Executive, British Council	The Complete Novels of Jane Austen	An asthma inhaler	Mr. Tambourine Man by Bob Dylan	Lauren Laverne	2022-07-17	11:15	Marni Nixon	I Could Have Danced All Night	Joe Dassin	Et Si Tu N'existais Pas	Bob Dylan	Mr. Tambourine Man	The Boomtown Rats	I Don't Like Mondays	Kaoma	Lambada	Madoxx Sematimba	Namagembe	The Avett Brothers	I And Love And You	Don McLean	American Pie
Andrew Ramroop	tailor	https://www.bbc.co.uk/programmes/m00193r6	Andrew Ramroop, tailor	Infinite Jest by David Foster Wallace	A tenor steel pan drum	Bridge Over Troubled Water by Simon & Garfunkel	Lauren Laverne	2022-07-10	11:15	The Mighty Sniper	Portrait of Trinidad	Pink Floyd	Another Brick In The Wall, Part 2	Jimmy Cliff	Time Will Tell	Simon & Garfunkel	The Boxer	James Brown & The Famous Flames	It's a Man's Man's Man's World	Les Crane	Desiderata	Neil Latchman	Maria La O	Simon & Garfunkel	Bridge Over Troubled Water
Adele	singer and songwriter	https://www.bbc.co.uk/programmes/m0018wxk	Adele, singer and songwriter	The Sun and Her Flowers by Rupi Kaur	A self-inflating mattress	Dreams by Gabrielle	Lauren Laverne	2022-07-03	11:15	The B‐52s	Roam	Gabrielle	Dreams	Shola Ama	Need Somebody	Nina Simone	He Needs Me	Destiny’s Child	Bills, Bills, Bills	Etta James	I'd Rather Go Blind	Yeah Yeah Yeahs	Maps	Donny Hathaway	For All We Know
Bono	singer and songwriter	https://www.bbc.co.uk/programmes/m0018njm	Bono, singer and songwriter	Ulysses by James Joyce	A Spanish guitar	Every Grain Of Sand by Bob Dylan	Lauren Laverne	2022-06-26	11:15	Peter Frampton	Show Me The Way	Bob Dylan	Every Grain of Sand	Emeli Sande and The Fron Choir	Abide with Me	Noel Gallagher's High Flying Birds	Dead In The Water (Live At RTÉ 2FM Studios, Dublin)	Inhaler	Ice Cream Sundae	Angélique Kidjo	Agolo	National Philharmonic Orchestra; conducted by Richard Bonynge	Verdi: La traviata Prelude to Act 1	Simple Minds	Someone Somewhere In Summertime
Rita Tushingham	actor	https://www.bbc.co.uk/programmes/m0018frv	Rita Tushingham, actor	Brewer's Dictionary of Phrase and Fable	A photograph album	Bridge Over Troubled Water by Simon and Garfunkel	Lauren Laverne	2022-06-19	11:15	Gerry and the Pacemakers	You'll Never Walk Alone	Little Richard	Tutti Frutti	The Beatles	Penny Lane	Ella Fitzgerald	Every time We Say Goodbye	Pro Arte Orchestra & Marcus Dods	The pas de deux	Simon & Garfunkel	Bridge Over Troubled Water	Jeff Buckley	Hallelujah
Frances O'Grady	General Secretary of the TUC	https://www.bbc.co.uk/programmes/m00187p1	Frances O'Grady, General Secretary of the TUC	History by Elsa Morante	A painting set with edible paints	Double Barrel by Dave & Ansell Collins	Lauren Laverne	2022-06-12	11:15	Tom Jones	It's Not Unusual	Dexys Midnight Runners	Burn It Down	Dave & Ansel Collins	Double Barrel	Joy Division	Atmosphere	Tom Browne	Funkin' for Jamaica	Barbara Lewis	Hello Stranger	Gil Scott‐Heron	Pieces Of A Man	Sam Cooke	A Change Is Gonna Come
Jon Ronson	writer and broadcaster	https://www.bbc.co.uk/programmes/m00180zy	Jon Ronson, writer and broadcaster	A Magnum photography book	Legal medical marijuana	Jersey Girl by Bruce Springsteen & The E Street Band	Lauren Laverne	2022-06-05	11:15	The Specials	A Message to You Rudy	Jane Horrocks	Cabaret	Tom Waits	Underground	The Breeders	Drivin' On 9	Randy Newman	Simon Smith And The Amazing Dancing Bear	Fiona Apple	Extraordinary Machine	Simon & Garfunkel	America	The E Street Band	Jersey Girl
David Harewood	actor and presenter	https://www.bbc.co.uk/programmes/m0017t3q	David Harewood, actor and presenter	The Sandman by Neil Gaiman	A disco dancefloor	Ain’t Nobody by Rufus and Chaka Khan	Lauren Laverne	2022-05-29	11:00	Bob Marley & The Wailers	Exodus	Johnny Nash	Tears On My Pillow	UB40	One In Ten	Tom Waits	$29.00	The Chimes	I Still Haven't Found What I'm Looking For	Otis Redding	(Sittin' On) The Dock of the Bay	D’Angelo	Cruisin'	Rufus & Chaka Khan	Ain't Nobody
Ellie Simmonds	swimmer	https://www.bbc.co.uk/programmes/m0017k47	Ellie Simmonds, swimmer	The Hunger Games trilogy by Suzanne Collins	A diary and pen	Rocket Man by Elton John	Lauren Laverne	2022-05-22	11:00	Heather Small	Proud	Stormzy & Ed Sheeran & Burna Boy	Own It	Britney Spears	Toxic	Eminem	Lose Yourself	Coldplay	Paradise	Katrina and the Waves	Walking On Sunshine	French Montana & Swae Lee	Unforgettable	Elton John	Rocket Man
Bradley Walsh	presenter and actor	https://www.bbc.co.uk/programmes/m0017cq7	Bradley Walsh, presenter and actor	The Count of Monte Christo by Alexandre Dumas	A set of golf clubs and balls	Always and Forever by Heatwave	Lauren Laverne	2022-05-15	11:00	David Bowie	Life On Mars?	Joe Loss Orchestra	March of the Mods	Bay City Rollers	Bye Bye Baby	10cc	I'm Mandy Fly Me	Tony Bennett	Firefly	Neil Sedaka	The Hungry Years	Heatwave	Always and Forever	Frank Sinatra	That's Life
Fiona Hill	foreign affairs specialist	https://www.bbc.co.uk/programmes/m0017435	Fiona Hill, foreign affairs specialist	Alice in Wonderland by Lewis Carroll	Crystallised ginger	This is the Day by The The	Lauren Laverne	2022-05-08	11:00	The Police	Message In A Bottle	Ella Fitzgerald	It's Only a Paper Moon	The Specials	Ghost Town	Iggy Pop	The Passenger	Nautilus Pompilius	Goodbye America	Imagine Dragons	On Top Of The World	Sam Fender	Hypersonic Missiles	The The	This is the day
Winnie Byanyima	executive director of Unaids	https://www.bbc.co.uk/programmes/m0015tp2	Winnie Byanyima, executive director of Unaids	The Second Sex by Simone De Beauvoir	A basket weaving needle	I Wish I Knew How It Would Feel to Be Free by Nina Simone	Lauren Laverne	2022-03-27	11:00	Juliana Kanyomozi	Sanyu Lyange	Johann Sebastian Bach	Cantata No. 147: Jesu, Joy of Man's Desiring	Franklin Boukaka	Le Bûcheron	Blondie	Heart Of Glass	Yvonne Chaka Chaka	Umqombothi	Nat King Cole	Steal Away	Bobby McFerrin	Don't Worry, Be Happy	Nina Simone	I Wish I Knew How It Would Feel to Be Free
