Castaway	Job	URL	Episode title	Book	Luxury	Favourite track	Presenter	Date first broadcast	Time first broadcast	Artist 1	Song 1	Artist 2	Song 2	Artist 3	Song 3	Artist 4	Song 4	Artist 5	Song 5	Artist 6	Song 6	Artist 7	Song 7	Artist 8	Song 8
Peter Carey		https://www.bbc.co.uk/programmes/b00c1q5q	Peter Carey	Austerlitz by W G Sebald	A ‘magic’ pudding and a drink	The Hallelujah Chorus from Messiah by George Frideric Handel	Kirsty Young	2008-06-20	09:00	Miles Davis Quintet	'Round Midnight	Elvis Presley	That's All Right	George Frideric Handel	Hallelujah Chorus (from Messiah)	Bob Dylan	Thunder on the Mountain	Talking Heads	Life During Wartime	Bob Dylan	Idiot Wind	Tom Frampton	Of Cowboys, Pirates & Lawyers	Gavin Bryars	Jesus' Blood Never Failed me Yet
Bill Bailey		https://www.bbc.co.uk/programmes/b00bydg9	Bill Bailey	The collected works by W. Somerset Maugham	A pack of cards	Once in a Lifetime by Talking Heads	Kirsty Young	2008-06-08	11:15	King Curtis	Memphis Soul Stew	The Undertones	Teenage Kicks	Talking Heads	Once in a Lifetime	Wolfgang Amadeus Mozart	Piano Concerto No. 26 in D major 'Coronation'	David Bowie	Rebel Rebel	Pretenders	Talk of the Town	Enong Jubaedah and Mang Maman	Traditional Javanese Gamelan	Gabriel Fauré	In Paradisum (from Requiem), Op 48
Lord Woolf		https://www.bbc.co.uk/programmes/b00bvbzm	Lord Woolf	The Koran	A happy photograph of the whole family including the latest grandchildren	The Prisoner's Chorus from Fidelio by Ludwig van Beethoven	Kirsty Young	2008-06-01	11:15	Franz Schubert	String Quartet No. 14 in D minor 'Death and the Maiden' - 1st movement	Fettes College Pipes & Drums	A Burns Medley	Giuseppe Verdi	Don Carlos Act 3	Johnny Tillotson	Yellow Bird	Ludwig van Beethoven	Prisoners' Chorus (from Fidelio)	Pyotr Ilyich Tchaikovsky	To love both young and old (Gremin's aria) (from Eugene Onegin)	Ludwig van Beethoven	Piano Sonata No. 26 in E flat major, Op. 81a 'Les adieux' - 1st movement	Johannes Brahms	Piano Quartet No. 1 in G minor - 1st movement
Howard Goodall		https://www.bbc.co.uk/programmes/b00bfjzs	Howard Goodall	The Diary of Anne Frank by Anne Frank	Ice-cold vanilla vodka and tonics	The first movement of Introitus from the Durufle Requiem by Maurice Durufle	Kirsty Young	2008-05-25	11:15	The Beatles	We Can Work It Out	William Byrd	Agnus Dei from (from Mass for five voices)	Gustav Mahler	Der Abschied  (from Das Lied von der Erde)	Stevie Wonder	I Wish	Maurice Duruflé	The first movement of Introitus from the Durufle Requiem	Noel Harrison	Windmills of My Mind	Sting	All This Time	John Williams	Theme from Schindler's List
Diane Abbott		https://www.bbc.co.uk/programmes/b00bbdly	Diane Abbott	Volumes of architectural and historical surveys of London	A nice bed with comfortable mattress, sheets & mosquito net	Nkosi Sikelel 'Iafrika by Ladysmith Black Mambazo	Kirsty Young	2008-05-18	11:15	Harry Belafonte	Scarlet Ribbons	The Beatles	The Things We Said Today	The Temptations	Ain't Too Proud to Beg	Bob Marley	Exodus	Buju Banton	Driver A	D:Ream	Things Can Only Get Better	Claude Debussy	Reflets dans l'eau (from Images)	Ladysmith Black Mambazo	Nkosi sikelel' iAfrika
Annie Lennox		https://www.bbc.co.uk/programmes/b00b6x4g	Annie Lennox	Power of Now by Eckhart Tolle	Suncream	I Say A Little Prayer by Aretha Franklin	Kirsty Young	2008-05-11	11:15	Glen Campbell	Wichita Lineman	The Beatles	Penny Lane	Claude Debussy	Syrinx	Traffic	Hole In My Shoe	Aretha Franklin	I Say A Little Prayer	The Blue Nile	A Walk Across The Rooftops	Otis Redding	(Sittin' On) The Dock of the Bay	Antonio Vivaldi	The Four Seasons - Winter - 1st movement
Penelope Wilton		https://www.bbc.co.uk/programmes/b009lwnd	Penelope Wilton	An anthology of 20th Century European poetry	An open-air cinema with a selection of films	The 2nd movement of String Quintet in C Major by Franz Schubert	Kirsty Young	2008-03-30	11:15	Edward Elgar	Serenade for Strings in E minor Op.20	Jean Sibelius	Symphony No. 2 in D major - 4th movement	Charles Trenet	Que reste-t-il do nos amours? What remains of our love?	Erroll Garner	I'll Remember April	Franz Schubert	String Quintet in C major - 2nd movement	Stevie Wonder	Isn't She Lovely	Dmitry Shostakovich	Symphony No. 5 in D minor	Bobby Hebb	Sunny
Stanley McMurtry		https://www.bbc.co.uk/programmes/b009hsnt	Stanley McMurtry	The collected works by John Steinbeck	Tenor saxophone	The Adagio from Bruch's Violin Concerto in G Minor by Bruch	Kirsty Young	2008-03-23	11:15	Frank Sinatra	My Funny Valentine	Frankie Laine	I Believe	Jussi Björling	Nessun dorma! (from Turandot)	Richard Wagner	Lohengrin Act 1 Prelude	Johnny Hodges	I Got It Bad and That Ain't Good	Lonnie Donegan	Battle of New Orleans	Max Bruch	Violin Concerto No. 1 in G minor - 2nd movement	Peggy Lee	Is That All There Is?
Tariq Ali		https://www.bbc.co.uk/programmes/b0094zpg	Tariq Ali	The collected works by Marcel Proust	A mini DVD player	Meda Ishq Vi Toon by Pathaney Khan	Kirsty Young	2008-03-16	11:15	Gabriel Fauré	Introitus (from Requiem)	Dmitry Shostakovich	String Quartet No. 7 in F sharp minor - 3rd movement	Franz Schubert	Prometheus, D674	Charlie Parker	Blues for Alice	Giuseppe Verdi	Si, pel ciel (Oath duet) (from Otello)	Cornelius Cardew	The Croppy Boy	Pathane Khan	Meda Ishq Vi Toon	Tom Lehrer	Send the Marines
Liz Smith		https://www.bbc.co.uk/programmes/b0093809	Liz Smith	A very large catalogue	A complete artist's set	Only The Lonely by Roy Orbison	Kirsty Young	2008-03-09	11:15	Roy Orbison	Only the Lonely (Know the Way I Feel)	Jack Hylton & His Orchestra	Tiptoe Through The Tulips	Glenn Miller	In The Mood	Nikolai Rimsky-Korsakov	Scheherazade - 3rd movement	Edith Sitwell	Polka	John Tavener	The opening of John Tavener's The Protecting Veil	Felix Mendelssohn	A Midsummer Nights Dream Overture	Peter Dawson	The Floral Dance
